number_of_tag_barcode,number_of_pcr_index,input_cell_number,tag_sort_cell_number,pcr_sort_cell_number,collision_rate,total_nuclei,recovered_barcode,cluster_per_nucleus
384,97,36000,121,49,0.09712950600801068,2996,2848,140449
384,113,36000,133,34,0.0834516037468067,3523,3374,118554
384,129,36000,132,24,0.08716198477290628,3809,3639,109920
384,145,36000,111,28,0.08465368945224083,4418,4225,94675
384,161,36000,96,52,0.08311893924401345,5053,4836,82713
384,177,36000,88,34,0.08125458547322084,5452,5227,76526
384,193,36000,124,37,0.08828302499188576,6162,5886,67958
384,209,36000,104,39,0.08035163479333744,6484,6219,64319
384,225,36000,58,38,0.07658959537572255,6920,6651,60141
384,241,36000,62,27,0.08640915593705294,6990,6684,59844
384,257,36000,92,14,0.08363636363636363,7700,7371,54267
384,273,36000,91,32,0.07827788649706457,8176,7850,50955
384,289,36000,96,35,0.09146968139773895,8757,8351,47898
384,305,36000,112,28,0.08850548958099932,8926,8527,46910
384,321,36000,103,36,0.07618129218900675,9333,8972,44583
384,337,36000,91,36,0.08531328320802005,9975,9542,41920
384,353,36000,84,28,0.08296309728896545,11029,10564,37864
384,369,36000,105,33,0.07972317095092576,11126,10675,37471
384,1,40000,99,36,0.0,36,36,11111111
384,17,40000,164,19,0.08281573498964803,483,463,863931
384,33,40000,124,33,0.07916666666666666,960,922,433839
384,49,40000,101,24,0.07511045655375552,1358,1306,306279
384,65,40000,124,26,0.087,2000,1913,209096
384,81,40000,130,24,0.09772636617471081,2507,2383,167856
384,97,40000,75,15,0.0844508880028996,2759,2642,151400
384,113,40000,62,20,0.07584097859327217,3270,3144,127226
384,129,40000,99,26,0.08116464828652409,3881,3723,107440
384,145,40000,85,23,0.07464454976303317,4220,4062,98474
384,161,40000,95,26,0.08319672131147542,4880,4674,85580
384,177,40000,113,22,0.08318098720292505,5470,5238,76365
384,193,40000,98,45,0.08899143045484509,6068,5794,69037
384,209,40000,130,18,0.07659364190413441,6071,5837,68528
384,225,40000,93,27,0.07539682539682539,6552,6300,63492
384,241,40000,96,20,0.08179419525065963,7201,6904,57937
384,257,40000,113,44,0.08133280860553588,7623,7309,54727
384,273,40000,125,43,0.07589668258048721,8169,7856,50916
384,289,40000,124,9,0.0748266794166866,8366,8049,49696
384,305,40000,49,34,0.08715144887916894,9145,8742,45756
384,321,40000,82,34,0.07864588708845081,9689,9303,42997
384,337,40000,121,32,0.08199225911590956,9818,9408,42517
384,353,40000,67,27,0.07926715273882969,10698,10269,38952
384,369,40000,91,22,0.0848777867311308,11169,10687,37429
384,1,44000,111,29,0.13793103448275862,29,27,14814815
384,17,44000,135,39,0.07889546351084813,507,487,821355
384,33,44000,68,34,0.10223953261927946,1027,973,411100
384,49,44000,84,37,0.07538358905937291,1499,1442,277393
384,65,44000,104,23,0.08506113769271664,1881,1801,222099
384,81,44000,121,32,0.08313155770782889,2478,2373,168563
384,97,44000,112,26,0.07970762269404803,2873,2758,145033
384,113,44000,122,28,0.08149910767400356,3362,3222,124146
384,129,44000,93,35,0.08147963009247688,4001,3836,104275
384,145,44000,154,21,0.07537077558959397,4113,3956,101112
384,161,44000,164,27,0.08047982551799346,4585,4398,90950
384,177,44000,118,32,0.09188660801564028,5115,4876,82034
384,193,44000,92,28,0.07696390658174097,5652,5433,73624
384,209,44000,116,31,0.08651847113385575,6253,5975,66946
384,225,44000,118,17,0.08084540348802838,6766,6489,61643
384,241,44000,111,35,0.08904837852206274,7524,7182,55695
384,257,44000,121,33,0.07982855612108224,7466,7165,55827
384,273,44000,104,37,0.0823272540457231,7786,7462,53605
384,289,44000,134,8,0.08408200875374337,8682,8315,48106
384,305,44000,70,47,0.08407224958949097,9135,8746,45735
384,321,44000,151,23,0.07853742968411943,9244,8876,45065
384,337,44000,107,18,0.08702708185414343,9859,9422,42454
384,353,44000,90,20,0.0770552850186193,10473,10064,39746
384,369,44000,107,36,0.07655415799475161,11051,10620,37665
384,1,48000,86,22,0.09090909090909091,22,21,19047619
384,17,48000,161,44,0.08863198458574181,519,496,806452
384,33,48000,121,40,0.08055009823182711,1018,977,409417
384,49,48000,87,22,0.06996699669966996,1515,1462,273598
384,65,48000,137,26,0.07201225740551584,1958,1887,211977
384,81,48000,140,28,0.08015267175572519,2358,2263,176757
384,97,48000,116,15,0.07832618025751073,2796,2683,149087
384,113,48000,91,29,0.07867950481430537,3635,3490,114613
384,129,48000,199,45,0.0795066911571766,3811,3657,109379
384,145,48000,147,25,0.07889865802869042,4322,4149,96409
384,161,48000,91,46,0.08257638315441784,4844,4640,86207
384,177,48000,126,30,0.08624390243902438,5125,4899,81649
384,193,48000,165,36,0.07949040014354926,5573,5349,74780
384,209,48000,139,22,0.08869350609285824,6483,6190,64620
384,225,48000,163,36,0.08856418667064261,6707,6405,62451
384,241,48000,118,37,0.08230683090705487,7144,6845,58437
384,257,48000,117,30,0.09588519177038354,7874,7490,53405
384,273,48000,136,19,0.08450006195019205,8071,7725,51780
384,289,48000,88,25,0.07686948444031584,8612,8276,48333
384,305,48000,136,23,0.08697557235184576,9129,8720,45872
384,321,48000,159,29,0.08362585174478629,9686,9273,43136
384,337,48000,181,4,0.0833499900059964,10006,9582,41745
384,353,48000,149,19,0.081547064305685,10730,10284,38895
384,369,48000,114,18,0.08290155440414508,10808,10353,38636
384,1,52000,143,31,0.06451612903225806,31,30,13333333
384,17,52000,123,32,0.12897526501766785,566,528,757576
384,33,52000,140,17,0.07714016933207903,1063,1020,392157
384,49,52000,151,20,0.09223623092236231,1507,1437,278358
384,65,52000,135,30,0.08684347373894956,1923,1838,217628
384,81,52000,132,33,0.08295122967903293,2399,2298,174064
384,97,52000,124,41,0.0856851411084665,2941,2813,142197
384,113,52000,133,29,0.08673158855751674,3286,3142,127307
384,129,52000,139,24,0.0819630660258032,3953,3787,105625
384,145,52000,148,19,0.08425252288195259,4261,4078,98087
384,161,52000,123,34,0.06928799149840595,4705,4540,88106
384,177,52000,124,19,0.07961783439490445,5338,5125,78049
384,193,52000,147,15,0.08273695234770466,5729,5489,72873
384,209,52000,136,49,0.07785524568393094,6024,5787,69120
384,225,52000,128,20,0.0858709770529658,6929,6625,60377
384,241,52000,144,14,0.07830551989730423,7011,6733,59409
384,257,52000,98,41,0.08277548918640577,7768,7442,53749
384,273,52000,144,42,0.0853186977672446,8017,7669,52158
384,289,52000,165,24,0.08711475036961219,8793,8406,47585
384,305,52000,122,23,0.081419624217119,9101,8724,45851
384,321,52000,116,22,0.07728806410797132,9484,9112,43898
384,337,52000,145,21,0.0805239838181468,10382,9955,40181
384,353,52000,146,25,0.07973421926910298,10535,10109,39569
384,369,52000,148,19,0.08243826310474617,10893,10437,38325
384,1,56000,109,42,0.09523809523809523,42,40,10000000
384,17,56000,105,21,0.11324376199616124,521,491,814664
384,33,56000,146,33,0.08609865470852018,1115,1066,375235
384,49,56000,164,33,0.07547169811320754,1590,1530,261438
384,65,56000,118,25,0.07065497679216091,1939,1869,214018
384,81,56000,108,34,0.0785472972972973,2368,2273,175979
384,97,56000,120,31,0.07656023222060958,2756,2648,151057
384,113,56000,155,13,0.08493975903614458,3320,3176,125945
384,129,56000,193,47,0.0826592517694641,3956,3790,105541
384,145,56000,160,42,0.07509974184463741,4261,4099,97585
384,161,56000,146,23,0.07857733664185278,4836,4644,86133
